Zone,Year,Month,Rainfall,SPI
Assam Meghalaya,1871,Jan,2.8,-1.276160151
Assam Meghalaya,1872,Jan,18.5,1.098243854
Assam Meghalaya,1873,Jan,10.7,0.242080454
Assam Meghalaya,1874,Jan,35.7,0.368444071
Assam Meghalaya,1875,Jan,45.3,0.710571493
Assam Meghalaya,1876,Jan,14.8,-0.729842908
Assam Meghalaya,1877,Jan,32.8,1.619930989
Assam Meghalaya,1878,Jan,10.4,0.857980983
Assam Meghalaya,1879,Jan,6.6,-1.346900975
Assam Meghalaya,1880,Jan,38.4,-0.241234702
Assam Meghalaya,1881,Jan,3,-0.986332796
Assam Meghalaya,1882,Jan,14.9,-1.346900975
Assam Meghalaya,1883,Jan,22.5,1.191088339
Assam Meghalaya,1884,Jan,14.8,-1.181693937
Assam Meghalaya,1885,Jan,15,0.173712338
Assam Meghalaya,1886,Jan,8.6,-0.290075451
Assam Meghalaya,1887,Jan,55.3,1.509752644
Assam Meghalaya,1888,Jan,27.7,0.635759616
Assam Meghalaya,1889,Jan,34.8,1.865624533
Assam Meghalaya,1890,Jan,28.2,-0.747646242
Assam Meghalaya,1891,Jan,7.6,1.194319783
Assam Meghalaya,1892,Jan,12.7,-1.013868778
Assam Meghalaya,1893,Jan,32.5,0.727651115
Assam Meghalaya,1894,Jan,5.2,-1.276160151
Assam Meghalaya,1895,Jan,12.3,0.154367363
Assam Meghalaya,1896,Jan,25,-0.747646242
Assam Meghalaya,1897,Jan,7.8,-0.467507732
Assam Meghalaya,1898,Jan,13.9,-0.531737112
Assam Meghalaya,1899,Jan,21.1,1.194319783
Assam Meghalaya,1900,Jan,9.5,1.863267252
Assam Meghalaya,1901,Jan,21,1.827627442
Assam Meghalaya,1902,Jan,7.1,-0.765936601
Assam Meghalaya,1903,Jan,15.5,-0.341711409
Assam Meghalaya,1904,Jan,11.2,-0.01342713
Assam Meghalaya,1905,Jan,14.1,0.229933602
Assam Meghalaya,1906,Jan,10.3,0.488642349
Assam Meghalaya,1907,Jan,40.1,-1.042956554
Assam Meghalaya,1908,Jan,14.5,0.43769568
Assam Meghalaya,1909,Jan,21.1,-0.363243578
Assam Meghalaya,1910,Jan,8.9,-0.804123001
Assam Meghalaya,1911,Jan,63.3,-0.168049644
Assam Meghalaya,1912,Jan,13.1,-0.363243578
Assam Meghalaya,1913,Jan,9.7,-1.346900975
Assam Meghalaya,1914,Jan,6.2,-1.346900975
Assam Meghalaya,1915,Jan,8.4,-0.141985107
Assam Meghalaya,1916,Jan,14.4,-1.346900975
Assam Meghalaya,1917,Jan,5.9,-0.784749062
Assam Meghalaya,1918,Jan,4.1,-1.042956554
Assam Meghalaya,1919,Jan,14.8,1.337363346
Assam Meghalaya,1920,Jan,6.4,-1.346900975
Assam Meghalaya,1921,Jan,34.5,0.846203572
Assam Meghalaya,1922,Jan,17.9,0.411485602
Assam Meghalaya,1923,Jan,0.4,-1.013868778
Assam Meghalaya,1924,Jan,7.2,-0.679056297
Assam Meghalaya,1925,Jan,21.5,0.167299171
Assam Meghalaya,1926,Jan,29.7,0.217664561
Assam Meghalaya,1927,Jan,39.9,0.798216932
Assam Meghalaya,1928,Jan,10.2,1.515259959
Assam Meghalaya,1929,Jan,81.7,1.734860161
Assam Meghalaya,1930,Jan,26,0.101156441
Assam Meghalaya,1931,Jan,6.5,-1.10691496
Assam Meghalaya,1932,Jan,18.6,-1.346900975
Assam Meghalaya,1933,Jan,11.4,0.701959794
Assam Meghalaya,1934,Jan,15.1,1.219973886
